,job_id,title,company,location,job_function,industry,experience_level,raw_skill,matched_skill,subcategory,category,similarity
24492,417973336,"Software Engineer, Back End",Capital One,"Cambridge, MA",Engineering and Information Technology,Financial Services,Entry level,"[{'name': 'Professional Software Engineering Experience', 'description': 'Required — minimum 1.5 years of professional software engineering experience (internships do not count). Experience delivering production-grade software, debugging, and maintaining services.'}, {'name': 'Backend Development / Full-stack Development', 'description': 'Required — design, implement, test, and support server-side logic and APIs; ability to work across full-stack components as needed to deliver end-to-end solutions.'}, {'name': 'Programming Languages (Java, Scala, Python, Go, Node.js, SQL)', 'description': 'Preferred — at least 3+ years in one or more of Java, Scala, Python, Go, or Node.js; proficiency with SQL for data access and manipulation.'}, {'name': 'Machine Learning and Large Language Models (LLMs)', 'description': 'Preferred — 1+ years experience with ML or LLM technologies; ability to integrate ML/LLM capabilities into applications or data pipelines to add efficiencies and automate workflows.'}, {'name': 'Cloud Platforms', 'description': 'Preferred — 1+ years experience with cloud providers such as AWS, GCP, or Azure; ability to build and operate cloud-native applications and use cloud services.'}, {'name': 'Containerization & Orchestration (Docker, Kubernetes)', 'description': 'Required/Preferred — experience with containerizing applications and using orchestration platforms (e.g., Docker and Kubernetes) to deploy and manage services.'}, {'name': 'Streaming / Real-time Data Integration', 'description': 'Required — experience integrating and processing real-time or streaming data within data architectures and pipelines.'}, {'name': 'Databases (Open Source RDBMS and NoSQL)', 'description': 'Required/Preferred — familiarity with relational databases (open source RDBMS) and NoSQL databases for data storage and retrieval patterns.'}, {'name': 'Open Source Frameworks', 'description': 'Preferred — 2+ years experience using open source frameworks and libraries relevant to backend, data, or cloud development.'}, {'name': 'Agile Practices & Collaboration', 'description': 'Preferred — 2+ years experience working in Agile teams; strong cross-functional collaboration with product managers, engineers, and other stakeholders.'}, {'name': 'Testing, Implementation & Support', 'description': 'Required — ability to write automated tests, participate in CI/CD pipelines, implement features to production, and provide operational support for services.'}, {'name': 'Data Engineering / Modern Data Ecosystems', 'description': 'Preferred/Required — understanding of modern data architectures, pipelines, and best practices for handling large-scale or streaming data.'}, {'name': 'Mentoring & Community Participation', 'description': 'Preferred — willingness to mentor peers, engage in internal/external tech communities, and share learnings about new technologies and best practices.'}, {'name': 'Technical Curiosity & Continuous Learning', 'description': 'Required/Preferred — habit of staying current with tech trends, experimenting with new tools/approaches, and applying them where beneficial.'}]",Data Engineering,Data Science,Analysis,0.63
25676,417975203,WANT YOUR WORK TO MEAN SOMETHING?,Driven Insights,"Gardner, MA",Other,Financial Services,Entry level,"[{'name': 'Insight generation / data analysis', 'description': 'Ability to analyze data, synthesize findings into clear insights, and produce actionable recommendations for business stakeholders. (Implied; not explicitly stated.)'}, {'name': 'Client communication & advisory', 'description': 'Experience communicating findings to clients and advising management teams so they act on insights. The posting emphasizes client adoption of recommendations.'}, {'name': 'Stakeholder management', 'description': 'Working with management teams and cross-functional stakeholders to ensure insights are used to enable the business. (Implied.)'}, {'name': 'Use of proprietary processes / methodology', 'description': 'Comfort learning and applying a firm-specific, proprietary process for producing and delivering insights.'}, {'name': 'Deliverable production', 'description': 'Ability to produce high-quality deliverables (reports, presentations, dashboards) that clients trust and act on.'}, {'name': 'Client satisfaction focus (NPS-driven)', 'description': 'Mindset and practices oriented toward achieving high client satisfaction and Net Promoter Scores; quality and relationship-driven work.'}, {'name': 'Team collaboration', 'description': 'Work effectively within a team to develop systems and processes for insight delivery and to support firm-wide excellence.'}, {'name': 'Problem solving / business acumen', 'description': 'Apply business judgment to translate insights into strategies that strengthen client businesses. (Implied.)'}]",Data Analysis,Data Analysis,Analysis,0.617
25677,417975203,WANT YOUR WORK TO MEAN SOMETHING?,Driven Insights,"Gardner, MA",Other,Financial Services,Entry level,"[{'name': 'Insight generation / data analysis', 'description': 'Ability to analyze data, synthesize findings into clear insights, and produce actionable recommendations for business stakeholders. (Implied; not explicitly stated.)'}, {'name': 'Client communication & advisory', 'description': 'Experience communicating findings to clients and advising management teams so they act on insights. The posting emphasizes client adoption of recommendations.'}, {'name': 'Stakeholder management', 'description': 'Working with management teams and cross-functional stakeholders to ensure insights are used to enable the business. (Implied.)'}, {'name': 'Use of proprietary processes / methodology', 'description': 'Comfort learning and applying a firm-specific, proprietary process for producing and delivering insights.'}, {'name': 'Deliverable production', 'description': 'Ability to produce high-quality deliverables (reports, presentations, dashboards) that clients trust and act on.'}, {'name': 'Client satisfaction focus (NPS-driven)', 'description': 'Mindset and practices oriented toward achieving high client satisfaction and Net Promoter Scores; quality and relationship-driven work.'}, {'name': 'Team collaboration', 'description': 'Work effectively within a team to develop systems and processes for insight delivery and to support firm-wide excellence.'}, {'name': 'Problem solving / business acumen', 'description': 'Apply business judgment to translate insights into strategies that strengthen client businesses. (Implied.)'}]",Data Interpretation,Data Analysis,Analysis,0.599
26858,417929613,Operations Analyst – Portfolio Control,Acadian Asset Management,"Boston, MA",Management and Manufacturing,Financial Services,Entry level,"[{'name': 'Portfolio accounting oversight', 'description': 'Ability to review and validate portfolio accounting records, reconcile market values, and review performance reporting.'}, {'name': 'Fund administration', 'description': 'Experience managing fund payments, processing invoices, setting budgets, handling daily accruals, and supporting regulatory/compliance filings.'}, {'name': 'Account onboarding / new account startup', 'description': 'Prepare and manage custodian welcome packages, internal system setups, and act as liaison between custodians, internal teams and clients during account openings.'}, {'name': 'Market documentation and local compliance', 'description': 'Knowledge of opening and maintaining local market documentation and trading requirements for funds across jurisdictions.'}, {'name': 'Tax reporting', 'description': 'Prepare and respond to tax-related client inquiries and support filings (e.g., K-1s, Canadian T3s, Form 5500) and other tax reporting obligations.'}, {'name': 'Audit coordination', 'description': 'Work with external auditors and banks to support audits and finalize audited financial statements.'}, {'name': 'Proxy voting reconciliation', 'description': 'Reconcile proxy-voting reports and resolve inquiries from internal and external stakeholders.'}, {'name': 'Operational strategy and process improvement', 'description': 'Identify and implement strategies to reduce costs, improve operational efficiency, and strengthen controls and governance.'}, {'name': 'Analytical skills', 'description': 'Strong analytical ability to investigate issues, resolve breaches, and synthesize operational and financial information.'}, {'name': 'Organizational and project management', 'description': 'Proven ability to manage multiple priorities across daily tasks and long-term projects, and maintain accurate documentation.'}, {'name': 'Interpersonal and stakeholder management', 'description': 'Strong communication and relationship-building skills to coordinate with custodians, middle office, brokers, clients, auditors and internal teams.'}, {'name': 'Self-starter / work ethic', 'description': 'Highly motivated, driven, able to work independently with integrity and manage flexible hours as needed.'}, {'name': 'Advanced Excel', 'description': 'Proficiency using advanced Excel functions such as VLOOKUP and PivotTables for data analysis and reconciliations.'}, {'name': 'SQL (preferred)', 'description': 'Experience using SQL to query and manipulate data for reporting, analysis, or system reconciliations.'}, {'name': 'CRM platforms (preferred)', 'description': 'Familiarity with CRM systems (example given: Salesforce) to manage relationships and documentation.'}, {'name': 'Understanding of tax & audit principles (preferred)', 'description': 'Familiarity with U.S. and Canadian tax reporting conventions, audit processes, and financial statement preparation.'}]",Data Analysis,Data Analysis,Analysis,0.563
27224,417945981,Prior Authorization Specialist,Community Care Cooperative (C3),"Boston, MA",Other,Hospitals and Health Care,Entry level,"[{'name': 'Prior Authorization Submission to PBMs', 'description': 'Expertise preparing, submitting, and following up on prior authorization requests through pharmacy benefit manager (PBM) channels and portals to secure medication approvals.'}, {'name': 'Insurance Benefit Investigation', 'description': 'Ability to investigate patient insurance benefits, eligibility, formularies, copays, and coverage limitations to determine authorization requirements and patient out-of-pocket costs.'}, {'name': 'Patient Assistance & Manufacturer Programs', 'description': 'Identify and qualify patients for manufacturer assistance, foundation programs, coupons, and other financial support; coordinate applications and interface with program administrators.'}, {'name': 'Process Management & Implementation', 'description': 'Designing, managing, and implementing processes for efficient prior authorization workflows and programmatic initiatives within pharmacy operations.'}, {'name': 'Pharmacy / Clinical Experience', 'description': 'Prior experience working in pharmacy, retail, medical, or related customer-service settings to understand medication dispensing, clinical workflows, and patient care needs.'}, {'name': 'Data Analysis & Reporting', 'description': 'Analyze data to identify trends, track program outcomes (such as cost savings), and communicate findings through effective reports to pharmacy leadership.'}, {'name': 'Attention to Detail', 'description': 'Careful and precise documentation of patient demographics, insurance information, allergies, and authorization records to minimize errors and delays.'}, {'name': 'Communication & Presentation', 'description': 'Strong oral, written, and interpersonal communication skills for interacting with patients, providers, pharmacy teams, and presenting complex information to senior leaders.'}, {'name': 'Judgment, Initiative & Decision Making', 'description': 'Ability to exercise discretion, independent judgment, and initiative to resolve insurance issues and achieve operational objectives.'}, {'name': 'Customer Service', 'description': 'Provide friendly, welcoming, and professional service to patients and providers while handling inquiries and resolving issues.'}, {'name': 'Documentation & Recordkeeping', 'description': 'Maintain accurate and up-to-date patient demographic and insurance records and document prior authorization activity and outcomes.'}, {'name': 'Familiarity with MassHealth ACO (desired)', 'description': 'Knowledge of the MassHealth Accountable Care Organization program and how it impacts medication coverage and care coordination is preferred.'}, {'name': 'Familiarity with Federally Qualified Health Centers (desired)', 'description': 'Understanding the structure and workflows of FQHCs to effectively coordinate pharmacy and authorization activities within these settings.'}, {'name': 'Anti-racism / Lived Experience (desired)', 'description': 'Experience with anti-racism activities or lived experience with racism is highly preferred to support equity-driven work.'}, {'name': 'Licensed Pharmacy Technician (required)', 'description': 'Current licensure in the Commonwealth of Massachusetts as a pharmacy technician is required to perform pharmacy-related responsibilities.'}]",Reporting and Analysis,Data Analysis,Analysis,0.746
27225,417945981,Prior Authorization Specialist,Community Care Cooperative (C3),"Boston, MA",Other,Hospitals and Health Care,Entry level,"[{'name': 'Prior Authorization Submission to PBMs', 'description': 'Expertise preparing, submitting, and following up on prior authorization requests through pharmacy benefit manager (PBM) channels and portals to secure medication approvals.'}, {'name': 'Insurance Benefit Investigation', 'description': 'Ability to investigate patient insurance benefits, eligibility, formularies, copays, and coverage limitations to determine authorization requirements and patient out-of-pocket costs.'}, {'name': 'Patient Assistance & Manufacturer Programs', 'description': 'Identify and qualify patients for manufacturer assistance, foundation programs, coupons, and other financial support; coordinate applications and interface with program administrators.'}, {'name': 'Process Management & Implementation', 'description': 'Designing, managing, and implementing processes for efficient prior authorization workflows and programmatic initiatives within pharmacy operations.'}, {'name': 'Pharmacy / Clinical Experience', 'description': 'Prior experience working in pharmacy, retail, medical, or related customer-service settings to understand medication dispensing, clinical workflows, and patient care needs.'}, {'name': 'Data Analysis & Reporting', 'description': 'Analyze data to identify trends, track program outcomes (such as cost savings), and communicate findings through effective reports to pharmacy leadership.'}, {'name': 'Attention to Detail', 'description': 'Careful and precise documentation of patient demographics, insurance information, allergies, and authorization records to minimize errors and delays.'}, {'name': 'Communication & Presentation', 'description': 'Strong oral, written, and interpersonal communication skills for interacting with patients, providers, pharmacy teams, and presenting complex information to senior leaders.'}, {'name': 'Judgment, Initiative & Decision Making', 'description': 'Ability to exercise discretion, independent judgment, and initiative to resolve insurance issues and achieve operational objectives.'}, {'name': 'Customer Service', 'description': 'Provide friendly, welcoming, and professional service to patients and providers while handling inquiries and resolving issues.'}, {'name': 'Documentation & Recordkeeping', 'description': 'Maintain accurate and up-to-date patient demographic and insurance records and document prior authorization activity and outcomes.'}, {'name': 'Familiarity with MassHealth ACO (desired)', 'description': 'Knowledge of the MassHealth Accountable Care Organization program and how it impacts medication coverage and care coordination is preferred.'}, {'name': 'Familiarity with Federally Qualified Health Centers (desired)', 'description': 'Understanding the structure and workflows of FQHCs to effectively coordinate pharmacy and authorization activities within these settings.'}, {'name': 'Anti-racism / Lived Experience (desired)', 'description': 'Experience with anti-racism activities or lived experience with racism is highly preferred to support equity-driven work.'}, {'name': 'Licensed Pharmacy Technician (required)', 'description': 'Current licensure in the Commonwealth of Massachusetts as a pharmacy technician is required to perform pharmacy-related responsibilities.'}]",Data Analysis,Data Analysis,Analysis,0.671
27226,417945981,Prior Authorization Specialist,Community Care Cooperative (C3),"Boston, MA",Other,Hospitals and Health Care,Entry level,"[{'name': 'Prior Authorization Submission to PBMs', 'description': 'Expertise preparing, submitting, and following up on prior authorization requests through pharmacy benefit manager (PBM) channels and portals to secure medication approvals.'}, {'name': 'Insurance Benefit Investigation', 'description': 'Ability to investigate patient insurance benefits, eligibility, formularies, copays, and coverage limitations to determine authorization requirements and patient out-of-pocket costs.'}, {'name': 'Patient Assistance & Manufacturer Programs', 'description': 'Identify and qualify patients for manufacturer assistance, foundation programs, coupons, and other financial support; coordinate applications and interface with program administrators.'}, {'name': 'Process Management & Implementation', 'description': 'Designing, managing, and implementing processes for efficient prior authorization workflows and programmatic initiatives within pharmacy operations.'}, {'name': 'Pharmacy / Clinical Experience', 'description': 'Prior experience working in pharmacy, retail, medical, or related customer-service settings to understand medication dispensing, clinical workflows, and patient care needs.'}, {'name': 'Data Analysis & Reporting', 'description': 'Analyze data to identify trends, track program outcomes (such as cost savings), and communicate findings through effective reports to pharmacy leadership.'}, {'name': 'Attention to Detail', 'description': 'Careful and precise documentation of patient demographics, insurance information, allergies, and authorization records to minimize errors and delays.'}, {'name': 'Communication & Presentation', 'description': 'Strong oral, written, and interpersonal communication skills for interacting with patients, providers, pharmacy teams, and presenting complex information to senior leaders.'}, {'name': 'Judgment, Initiative & Decision Making', 'description': 'Ability to exercise discretion, independent judgment, and initiative to resolve insurance issues and achieve operational objectives.'}, {'name': 'Customer Service', 'description': 'Provide friendly, welcoming, and professional service to patients and providers while handling inquiries and resolving issues.'}, {'name': 'Documentation & Recordkeeping', 'description': 'Maintain accurate and up-to-date patient demographic and insurance records and document prior authorization activity and outcomes.'}, {'name': 'Familiarity with MassHealth ACO (desired)', 'description': 'Knowledge of the MassHealth Accountable Care Organization program and how it impacts medication coverage and care coordination is preferred.'}, {'name': 'Familiarity with Federally Qualified Health Centers (desired)', 'description': 'Understanding the structure and workflows of FQHCs to effectively coordinate pharmacy and authorization activities within these settings.'}, {'name': 'Anti-racism / Lived Experience (desired)', 'description': 'Experience with anti-racism activities or lived experience with racism is highly preferred to support equity-driven work.'}, {'name': 'Licensed Pharmacy Technician (required)', 'description': 'Current licensure in the Commonwealth of Massachusetts as a pharmacy technician is required to perform pharmacy-related responsibilities.'}]",Report Analysis,Data Analysis,Analysis,0.654
28045,417928476,Patient Care Coordinator,BenchMark Physical Therapy,"Richmond County, GA",Health Care Provider,Hospitals and Health Care,Entry level,"[{'name': 'Customer service / patient relations', 'description': 'Provide a friendly, welcoming atmosphere; handle patient inquiries and welcome calls; influence arrival rate through excellent service. (Required)'}, {'name': 'Front-desk reception', 'description': 'Greet visitors, manage the front-office workspace, answer phones, and handle inbound referrals by fax/telephone. (Required)'}, {'name': 'Appointment scheduling', 'description': 'Schedule new referrals, convert referrals into evaluations, manage and optimize the clinic schedule. (Required)'}, {'name': 'Insurance verification', 'description': 'Verify patient insurance coverage prior to or at intake to ensure appropriate billing/eligibility. (Required)'}, {'name': 'Payment collection and cash handling', 'description': 'Collect payments at time of service, process deposits, and follow cash-handling procedures. (Required)'}, {'name': 'Practice management / EMR workflow', 'description': 'Support practice management tasks including document routing, non-clinical documentation, reporting (caseload, D/C candidates, progress notes, insurance reporting), and adherence to clinic processes. (Required)'}, {'name': 'Use of Raintree and practice management software', 'description': 'Operate Raintree (explicitly named) and other clinic business systems for scheduling, documentation, and practice workflows. (Required)'}, {'name': 'Document management and data entry', 'description': 'Accurately enter patient data, route documents, maintain records, and manage documentation workflows. (Required)'}, {'name': 'Communication skills', 'description': 'Effectively communicate with patients, clinicians, business office and field leadership; strong phone and interpersonal skills. (Required)'}, {'name': 'Multitasking and time management', 'description': 'Handle multiple computer programs and tasks concurrently, manage personal overtime, meet deadlines with minimal supervision. (Required)'}, {'name': 'Organization and attention to detail', 'description': 'Maintain an orderly front office, monitor inventory, manage deposits and non-clinical tasks with accuracy. (Required)'}, {'name': 'Reporting and basic analytics', 'description': 'Prepare and monitor basic operational reports (arrival rates, caseload, insurance reporting) to support clinic performance. (Required)'}, {'name': 'Compliance and training participation', 'description': 'Complete quarterly compliance training and attend required training sessions with Territory Field Trainers for Raintree and business process updates. (Required)'}, {'name': 'Basic office equipment operation', 'description': 'Operate computers, phones, printers, fax machines, copy machines, keyboard/mouse efficiently and reliably. (Required)'}, {'name': 'Physical stamina for sedentary office work', 'description': 'Ability to sit for prolonged periods, perform repetitive typing, view screens, and occasionally lift/carry small items (0–20 lbs.). (Required)'}]",Reporting and Analysis,Data Analysis,Analysis,0.558
28163,417928300,"Cdr, Resource Planning",CVS Health,"Boston, MA",Management and Manufacturing,Hospitals and Health Care,Entry level,"[{'name': 'Scheduling (Providers & ancillary staff)', 'description': 'Create and manage recurring and rotating schedules, fill open shifts, support on-call coverage, and update schedules in multiple scheduling platforms to maintain clinic coverage.'}, {'name': 'Multi-region / Multi-state coordination', 'description': 'Manage scheduling across multiple regions and states, coordinate with market leadership across geographies, and balance staffing needs among markets.'}, {'name': 'Workforce scheduling practices', 'description': 'Apply labor scheduling best practices, rules and policies to construct compliant and efficient schedules that meet minimum hours/weekend shift requirements.'}, {'name': 'Budgeting & financial trend reporting', 'description': 'Monitor staffing and scheduling budgets, identify trends in overtime and non-clinical hours, and generate monthly financial/trend reports for Area Directors and CNO leadership.'}, {'name': 'Forecasting & staffing model development', 'description': 'Recognize seasonality and evolving demand, develop staffing models, and forecast staffing needs to optimize coverage and minimize overtime.'}, {'name': 'Profile management & onboarding scheduling', 'description': 'Maintain and create provider and ancillary staff profiles in scheduling systems and build orientation schedules for new hires.'}, {'name': 'Reporting & data analysis', 'description': 'Generate, interpret, and act on scheduling and financial reports to identify trends, compliance with scheduling timetables, and opportunities to reduce overtime.'}, {'name': 'Attention to detail', 'description': 'Ensure accuracy in schedules, profiles, and reporting to avoid coverage gaps and payroll errors.'}, {'name': 'Critical thinking & problem solving', 'description': 'Assess complex scheduling conflicts and last-minute vacancies, propose solutions that balance coverage needs and budget constraints.'}, {'name': 'Communication & stakeholder management', 'description': 'Communicate effectively with providers, store/market leadership (SPMs, ADs), and other levels of leadership to coordinate coverage and escalate issues.'}, {'name': 'Customer service orientation', 'description': 'Provide professional support to internal customers (providers, managers) ensuring needs are addressed and shifts are covered promptly.'}, {'name': 'Negotiation & influence', 'description': 'Negotiate shift coverage, influence provider participation in rotating/on-call schedules, and collaborate to minimize overtime.'}, {'name': 'Time management & prioritization', 'description': 'Organize and prioritize multiple scheduling tasks and requests in a fast-paced environment to meet deadlines and coverage requirements.'}, {'name': 'Technical proficiency (web apps & Windows)', 'description': 'Comfortable using Microsoft Windows and navigating web-based applications and scheduling software systems to manage schedules and reports.'}, {'name': 'Change management', 'description': 'Support and adapt to process or system changes, help implement new scheduling practices, and guide others through changes.'}, {'name': 'Integrity & positive attitude', 'description': 'Demonstrate ethical behavior, reliability, and a constructive mindset while working independently or with teams.'}]",Reporting and Analysis,Data Analysis,Analysis,0.708
28164,417928300,"Cdr, Resource Planning",CVS Health,"Boston, MA",Management and Manufacturing,Hospitals and Health Care,Entry level,"[{'name': 'Scheduling (Providers & ancillary staff)', 'description': 'Create and manage recurring and rotating schedules, fill open shifts, support on-call coverage, and update schedules in multiple scheduling platforms to maintain clinic coverage.'}, {'name': 'Multi-region / Multi-state coordination', 'description': 'Manage scheduling across multiple regions and states, coordinate with market leadership across geographies, and balance staffing needs among markets.'}, {'name': 'Workforce scheduling practices', 'description': 'Apply labor scheduling best practices, rules and policies to construct compliant and efficient schedules that meet minimum hours/weekend shift requirements.'}, {'name': 'Budgeting & financial trend reporting', 'description': 'Monitor staffing and scheduling budgets, identify trends in overtime and non-clinical hours, and generate monthly financial/trend reports for Area Directors and CNO leadership.'}, {'name': 'Forecasting & staffing model development', 'description': 'Recognize seasonality and evolving demand, develop staffing models, and forecast staffing needs to optimize coverage and minimize overtime.'}, {'name': 'Profile management & onboarding scheduling', 'description': 'Maintain and create provider and ancillary staff profiles in scheduling systems and build orientation schedules for new hires.'}, {'name': 'Reporting & data analysis', 'description': 'Generate, interpret, and act on scheduling and financial reports to identify trends, compliance with scheduling timetables, and opportunities to reduce overtime.'}, {'name': 'Attention to detail', 'description': 'Ensure accuracy in schedules, profiles, and reporting to avoid coverage gaps and payroll errors.'}, {'name': 'Critical thinking & problem solving', 'description': 'Assess complex scheduling conflicts and last-minute vacancies, propose solutions that balance coverage needs and budget constraints.'}, {'name': 'Communication & stakeholder management', 'description': 'Communicate effectively with providers, store/market leadership (SPMs, ADs), and other levels of leadership to coordinate coverage and escalate issues.'}, {'name': 'Customer service orientation', 'description': 'Provide professional support to internal customers (providers, managers) ensuring needs are addressed and shifts are covered promptly.'}, {'name': 'Negotiation & influence', 'description': 'Negotiate shift coverage, influence provider participation in rotating/on-call schedules, and collaborate to minimize overtime.'}, {'name': 'Time management & prioritization', 'description': 'Organize and prioritize multiple scheduling tasks and requests in a fast-paced environment to meet deadlines and coverage requirements.'}, {'name': 'Technical proficiency (web apps & Windows)', 'description': 'Comfortable using Microsoft Windows and navigating web-based applications and scheduling software systems to manage schedules and reports.'}, {'name': 'Change management', 'description': 'Support and adapt to process or system changes, help implement new scheduling practices, and guide others through changes.'}, {'name': 'Integrity & positive attitude', 'description': 'Demonstrate ethical behavior, reliability, and a constructive mindset while working independently or with teams.'}]",Reports Analysis,Data Analysis,Analysis,0.627
28165,417928300,"Cdr, Resource Planning",CVS Health,"Boston, MA",Management and Manufacturing,Hospitals and Health Care,Entry level,"[{'name': 'Scheduling (Providers & ancillary staff)', 'description': 'Create and manage recurring and rotating schedules, fill open shifts, support on-call coverage, and update schedules in multiple scheduling platforms to maintain clinic coverage.'}, {'name': 'Multi-region / Multi-state coordination', 'description': 'Manage scheduling across multiple regions and states, coordinate with market leadership across geographies, and balance staffing needs among markets.'}, {'name': 'Workforce scheduling practices', 'description': 'Apply labor scheduling best practices, rules and policies to construct compliant and efficient schedules that meet minimum hours/weekend shift requirements.'}, {'name': 'Budgeting & financial trend reporting', 'description': 'Monitor staffing and scheduling budgets, identify trends in overtime and non-clinical hours, and generate monthly financial/trend reports for Area Directors and CNO leadership.'}, {'name': 'Forecasting & staffing model development', 'description': 'Recognize seasonality and evolving demand, develop staffing models, and forecast staffing needs to optimize coverage and minimize overtime.'}, {'name': 'Profile management & onboarding scheduling', 'description': 'Maintain and create provider and ancillary staff profiles in scheduling systems and build orientation schedules for new hires.'}, {'name': 'Reporting & data analysis', 'description': 'Generate, interpret, and act on scheduling and financial reports to identify trends, compliance with scheduling timetables, and opportunities to reduce overtime.'}, {'name': 'Attention to detail', 'description': 'Ensure accuracy in schedules, profiles, and reporting to avoid coverage gaps and payroll errors.'}, {'name': 'Critical thinking & problem solving', 'description': 'Assess complex scheduling conflicts and last-minute vacancies, propose solutions that balance coverage needs and budget constraints.'}, {'name': 'Communication & stakeholder management', 'description': 'Communicate effectively with providers, store/market leadership (SPMs, ADs), and other levels of leadership to coordinate coverage and escalate issues.'}, {'name': 'Customer service orientation', 'description': 'Provide professional support to internal customers (providers, managers) ensuring needs are addressed and shifts are covered promptly.'}, {'name': 'Negotiation & influence', 'description': 'Negotiate shift coverage, influence provider participation in rotating/on-call schedules, and collaborate to minimize overtime.'}, {'name': 'Time management & prioritization', 'description': 'Organize and prioritize multiple scheduling tasks and requests in a fast-paced environment to meet deadlines and coverage requirements.'}, {'name': 'Technical proficiency (web apps & Windows)', 'description': 'Comfortable using Microsoft Windows and navigating web-based applications and scheduling software systems to manage schedules and reports.'}, {'name': 'Change management', 'description': 'Support and adapt to process or system changes, help implement new scheduling practices, and guide others through changes.'}, {'name': 'Integrity & positive attitude', 'description': 'Demonstrate ethical behavior, reliability, and a constructive mindset while working independently or with teams.'}]",Report Analysis,Data Analysis,Analysis,0.619
30096,418097315,Revenue Cycle Business Analyst II,Mass General Brigham,"Somerville, MA","Research, Analyst, and Information Technology",Hospitals and Health Care,Entry level,"[{'name': 'Financial modeling', 'description': 'Build and maintain models to project revenues, expenses, and financial outcomes for programs, projects, and investments; supports forecasting and variance analysis.'}, {'name': 'Forecasting and variance analysis', 'description': 'Create forecasts and analyze variances between actuals and budgets/forecasts to identify drivers and recommend corrective actions.'}, {'name': 'Data analysis', 'description': 'Analyze internal performance data, process metrics, and market trends to inform strategic planning and operational improvements.'}, {'name': 'Data visualization & presentation', 'description': 'Design visualizations and prepare presentation materials for leadership reviews; translate analytical findings into clear, actionable insights.'}, {'name': 'Dashboard development', 'description': 'Contribute to creation and maintenance of dashboards that enable leaders to evaluate and report on performance metrics.'}, {'name': 'Budgeting and financial planning', 'description': 'Assist in budget development, monitoring, and reporting aligned with hospital goals; ensure financial plans reflect operational needs.'}, {'name': 'Business case development & cost-benefit analysis', 'description': 'Develop business plans, perform financial feasibility and cost-benefit analyses to support new or expanded programs and investments.'}, {'name': 'Operational improvement & cost-savings identification', 'description': 'Identify, recommend, and track improvements and initiatives that reduce costs or increase operational efficiency.'}, {'name': 'Stakeholder management & communication', 'description': 'Independently manage stakeholder needs, present findings to stakeholders, and communicate complex financial information in written and oral form.'}, {'name': 'Collaboration & teamwork', 'description': 'Work effectively across departments to understand needs, gather information, and implement cross-functional solutions.'}, {'name': 'Project management (familiarity)', 'description': 'Manage smaller projects or workstreams under guidance; familiarity with project management practices to track deliverables and timelines.'}, {'name': 'Attention to detail', 'description': 'Ensure accuracy in financial models, reports, and analyses; maintain high-quality deliverables.'}, {'name': 'Excel proficiency', 'description': 'Advanced skills in Excel for modeling, analysis, and reporting (formulas, pivot tables, lookup functions, perhaps macros).'}, {'name': 'Data visualization tools (e.g., Tableau, Power BI)', 'description': 'Use tools like Tableau or Power BI to build dashboards and visual reports for leadership and operational users.'}, {'name': 'Proficiency with financial analysis tools/software', 'description': 'Experience using financial systems and analysis software to extract data, run analyses, and maintain financial models.'}, {'name': 'Revenue cycle experience (preferred)', 'description': 'Knowledge of healthcare revenue cycle processes is strongly preferred to inform analyses and recommendations specific to hospital finance.'}]",Data Analysis,Data Analysis,Analysis,0.625
